Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,Measles,9/139,6.852802260325774e-05,9.18465858501996e-05,0,0,5.589173789173789,53.59049511186933,PIK3CA;CD28;PIK3R3;MSN;PIK3CD;CBLB;PIK3R2;PIK3R1;PIK3CB
KEGG_2021_Human,Parkinson disease,12/249,8.022534420205293e-05,0.00010678269952411182,0,0,4.1162447257383965,38.81895009535919,CALML5;CALML6;GNAI3;ITPR1;ITPR2;CALML3;CALM3;ITPR3;CALML4;PLCG1;GNAI1;GNAI2
GO_Biological_Process_2021,Parkinson disease,12/249,8.022534420205293e-05,0.00010678269952411182,0,0,4.1162447257383965,38.81895009535919,CALML5;CALML6;GNAI3;ITPR1;ITPR2;CALML3;CALM3;ITPR3;CALML4;PLCG1;GNAI1;GNAI2
GO_Biological_Process_2021,Thyroid cancer,5/37,9.569253717818798e-05,0.00012649766900952247,0,0,12.472165991902834,115.42204183326052,RET;NRAS;BRAF;KRAS;HRAS
KEGG_2021_Human,Thyroid cancer,5/37,9.569253717818798e-05,0.00012649766900952247,0,0,12.472165991902834,115.42204183326052,RET;NRAS;BRAF;KRAS;HRAS
KEGG_2021_Human,Tuberculosis,10/180,9.895747667702376e-05,0.00012992376189568423,0,0,4.7588721438988815,43.8807050057586,CALML5;SYK;CALML6;SRC;CALML3;CALM3;PIK3C3;CALML4;RAF1;RHOA
GO_Biological_Process_2021,Tuberculosis,10/180,9.895747667702376e-05,0.00012992376189568423,0,0,4.7588721438988815,43.8807050057586,CALML5;SYK;CALML6;SRC;CALML3;CALM3;PIK3C3;CALML4;RAF1;RHOA
KEGG_2021_Human,GABAergic synapse,7/89,0.00013273903158099847,0.00017309887226441014,0,0,6.852264808362369,61.1710280808283,PRKCG;PRKCB;SRC;GNAI3;PRKCA;GNAI1;GNAI2
GO_Biological_Process_2021,GABAergic synapse,7/89,0.00013273903158099847,0.00017309887226441014,0,0,6.852264808362369,61.1710280808283,PRKCG;PRKCB;SRC;GNAI3;PRKCA;GNAI1;GNAI2
GO_Biological_Process_2021,Non-alcoholic fatty liver disease,9/155,0.0001578452852743096,0.00020445731582511244,0,0,4.972602739726027,43.5296433134634,CDC42;PIK3CA;PIK3R3;PIK3CD;IRS2;PIK3R2;PIK3R1;PIK3CB;RAC1
KEGG_2021_Human,Non-alcoholic fatty liver disease,9/155,0.0001578452852743096,0.00020445731582511244,0,0,4.972602739726027,43.5296433134634,CDC42;PIK3CA;PIK3R3;PIK3CD;IRS2;PIK3R2;PIK3R1;PIK3CB;RAC1
GO_Biological_Process_2021,Influenza A,9/172,0.00034290723358464136,0.00044120730721223855,0,0,4.450124971597364,35.50332221485604,PIK3CA;PRKCB;PIK3R3;PIK3CD;PRKCA;PIK3R2;PIK3R1;PIK3CB;RAF1
KEGG_2021_Human,Influenza A,9/172,0.00034290723358464136,0.00044120730721223855,0,0,4.450124971597364,35.50332221485604,PIK3CA;PRKCB;PIK3R3;PIK3CD;PRKCA;PIK3R2;PIK3R1;PIK3CB;RAF1
KEGG_2021_Human,Toll-like receptor signaling pathway,7/104,0.0003488735479633988,0.0004459112235558673,0,0,5.788217967599411,46.07885154774026,PIK3CA;PIK3R3;PIK3CD;PIK3R2;PIK3R1;PIK3CB;RAC1
GO_Biological_Process_2021,Toll-like receptor signaling pathway,7/104,0.0003488735479633988,0.0004459112235558673,0,0,5.788217967599411,46.07885154774026,PIK3CA;PIK3R3;PIK3CD;PIK3R2;PIK3R1;PIK3CB;RAC1
GO_Biological_Process_2021,NOD-like receptor signaling pathway,9/181,0.0004975329502878762,0.0006317359171418429,0,0,4.215331610680448,32.061174753926565,PLCB3;PLCB4;PRKCD;ITPR1;ITPR2;ITPR3;PLCB1;PLCB2;RHOA
KEGG_2021_Human,NOD-like receptor signaling pathway,9/181,0.0004975329502878762,0.0006317359171418429,0,0,4.215331610680448,32.061174753926565,PLCB3;PLCB4;PRKCD;ITPR1;ITPR2;ITPR3;PLCB1;PLCB2;RHOA
KEGG_2021_Human,Morphine addiction,6/91,0.0010283559574645,0.0012972071881742,0,0,5.642180774748924,38.81704093187688,PRKCG;PRKCB;GNAI3;PRKCA;GNAI1;GNAI2
GO_Biological_Process_2021,Morphine addiction,6/91,0.0010283559574645,0.0012972071881742,0,0,5.642180774748924,38.81704093187688,PRKCG;PRKCB;GNAI3;PRKCA;GNAI1;GNAI2
GO_Biological_Process_2021,TNF signaling pathway,6/112,0.0029670174141493,0.0037184049411092,0,0,4.519558214450069,26.304723989818672,PIK3CA;PIK3R3;PIK3CD;PIK3R2;PIK3R1;PIK3CB
KEGG_2021_Human,TNF signaling pathway,6/112,0.0029670174141493,0.0037184049411092,0,0,4.519558214450069,26.304723989818672,PIK3CA;PIK3R3;PIK3CD;PIK3R2;PIK3R1;PIK3CB
KEGG_2021_Human,Taste transduction,5/86,0.0046411057829509,0.0057789252652227,0,0,4.915029739591144,26.40748469098356,PLCB3;PLCB4;ITPR3;PLCB1;PLCB2
GO_Biological_Process_2021,Taste transduction,5/86,0.0046411057829509,0.0057789252652227,0,0,4.915029739591144,26.40748469098356,PLCB3;PLCB4;ITPR3;PLCB1;PLCB2
